personagem,ordem_solicitada,reacao_pedida,imagem_mais_proxima,expressao_primaria_da_imagem,observacao
morena,28,Nervosa / ansiosa,por_personagem/morena/19_preocupada_ansiosa.png,Preocupada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
morena,29,Com dúvida,por_personagem/morena/10_confusa.png,Confusa,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
morena,30,Pedindo desculpas,por_personagem/morena/23_pedindo_desculpas.png,Pedindo desculpas,Correspondência direta
morena,31,Comemorando,por_personagem/morena/25_comemorando.png,Comemorando,Correspondência direta
morena,32,Pensando / processando resposta,por_personagem/morena/35_analisando.png,Modo “analisando”,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
morena,33,Tive uma ideia,por_personagem/morena/26_tive_uma_ideia.png,Tive uma ideia,Correspondência direta
morena,34,Explicando algo,por_personagem/morena/27_explicando_algo.png,Explicando algo,Correspondência direta
morena,35,Escutando / atenta,por_personagem/morena/28_escutando_atenta.png,Escutando / atenta,Correspondência direta
morena,36,Não entendi,por_personagem/morena/30_nao_entendi.png,Não entendi,Correspondência direta
morena,37,Entendi,por_personagem/morena/29_entendi.png,Entendi,Correspondência direta
morena,38,Elogiando o usuário,por_personagem/morena/31_elogiando_usuario.png,Elogiando o usuário,Correspondência direta
morena,39,Motivando / incentivando,por_personagem/morena/32_motivando_incentivando.png,Motivando / incentivando,Correspondência direta
morena,40,Confortando,por_personagem/morena/33_confortando.png,Confortando,Correspondência direta
morena,41,Modo “vamos resolver isso”,por_personagem/morena/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,Correspondência direta
morena,42,Modo “isso ficou incrível”,por_personagem/morena/31_elogiando_usuario.png,Elogiando o usuário,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
morena,43,Modo “ops” / erro leve,por_personagem/morena/24_ops_erro_leve.png,Modo “ops” / erro leve,Correspondência direta
morena,44,Modo “analisando”,por_personagem/morena/35_analisando.png,Modo “analisando”,Correspondência direta
morena,45,Modo “aguardando”,por_personagem/morena/28_escutando_atenta.png,Escutando / atenta,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
morena,46,Modo “sugestão”,por_personagem/morena/27_explicando_algo.png,Explicando algo,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
morena,47,Modo “alerta”,por_personagem/morena/08_surpresa.png,Surpresa,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
morena,48,Modo “segredo / sussurro”,por_personagem/morena/36_segredo_sussurro.png,Modo “segredo / sussurro”,Correspondência direta
morena,49,Modo “zoeira leve”,por_personagem/morena/04_piscando_brincando.png,Piscando / brincando,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
loira,1,Feliz / sorrindo,por_personagem/loira/01_feliz_sorrindo.png,Feliz / sorrindo,Correspondência direta
loira,2,Rindo,por_personagem/loira/02_rindo.png,Rindo,Correspondência direta
loira,3,Empolgada / animada,por_personagem/loira/03_muito_empolgada.png,MUITO empolgada / MUITO animada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
loira,4,MUITO empolgada / MUITO animada,por_personagem/loira/03_muito_empolgada.png,MUITO empolgada / MUITO animada,Correspondência direta
loira,5,Orgulhosa / confiante,por_personagem/loira/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
loira,6,Carinhosa / fofa,por_personagem/loira/05_carinhosa_fofa.png,Carinhosa / fofa,Correspondência direta
loira,7,Apaixonada / encantada,por_personagem/loira/06_apaixonada_encantada.png,Apaixonada / encantada,Correspondência direta
loira,8,Piscando / brincando,por_personagem/loira/04_piscando_brincando.png,Piscando / brincando,Correspondência direta
loira,9,Travessa / provocando,por_personagem/loira/04_piscando_brincando.png,Piscando / brincando,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
loira,10,Surpresa,por_personagem/loira/08_surpresa.png,Surpresa,Correspondência direta
loira,11,Chocada,por_personagem/loira/09_chocada.png,Chocada,Correspondência direta
loira,12,Confusa,por_personagem/loira/10_confusa.png,Confusa,Correspondência direta
loira,13,Pensativa,por_personagem/loira/11_pensativa.png,Pensativa,Correspondência direta
loira,14,Curiosa,por_personagem/loira/12_curiosa.png,Curiosa,Correspondência direta
loira,15,Concentrada / séria,por_personagem/loira/13_concentrada_seria.png,Concentrada / séria,Correspondência direta
loira,16,Aprovando / concordando,por_personagem/loira/07_aprovando_concordando.png,Aprovando / concordando,Correspondência direta
loira,17,Negando / desaprovando,por_personagem/loira/14_negando_desaprovando.png,Negando / desaprovando,Correspondência direta
loira,18,Envergonhada,por_personagem/loira/15_envergonhada_timida.png,Envergonhada,Correspondência direta
loira,19,Tímida,por_personagem/loira/15_envergonhada_timida.png,Envergonhada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
loira,20,Triste,por_personagem/loira/16_triste_chateada.png,Triste,Correspondência direta
loira,21,Chateada,por_personagem/loira/16_triste_chateada.png,Triste,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
loira,22,Brava / irritada,por_personagem/loira/17_brava_irritada.png,Brava / irritada,Correspondência direta
loira,23,Frustrada,por_personagem/loira/18_frustrada.png,Frustrada,Correspondência direta
loira,24,Preocupada,por_personagem/loira/19_preocupada_ansiosa.png,Preocupada,Correspondência direta
loira,25,Com medo / assustada,por_personagem/loira/20_com_medo_assustada.png,Com medo / assustada,Correspondência direta
loira,26,Cansada / com sono,por_personagem/loira/21_cansada_com_sono.png,Cansada / com sono,Correspondência direta
loira,27,Entediada,por_personagem/loira/22_entediada.png,Entediada,Correspondência direta
loira,28,Nervosa / ansiosa,por_personagem/loira/19_preocupada_ansiosa.png,Preocupada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
loira,29,Com dúvida,por_personagem/loira/10_confusa.png,Confusa,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
loira,30,Pedindo desculpas,por_personagem/loira/23_pedindo_desculpas.png,Pedindo desculpas,Correspondência direta
loira,31,Comemorando,por_personagem/loira/25_comemorando.png,Comemorando,Correspondência direta
loira,32,Pensando / processando resposta,por_personagem/loira/35_analisando.png,Modo “analisando”,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
loira,33,Tive uma ideia,por_personagem/loira/26_tive_uma_ideia.png,Tive uma ideia,Correspondência direta
loira,34,Explicando algo,por_personagem/loira/27_explicando_algo.png,Explicando algo,Correspondência direta
loira,35,Escutando / atenta,por_personagem/loira/28_escutando_atenta.png,Escutando / atenta,Correspondência direta
loira,36,Não entendi,por_personagem/loira/30_nao_entendi.png,Não entendi,Correspondência direta
loira,37,Entendi,por_personagem/loira/29_entendi.png,Entendi,Correspondência direta
loira,38,Elogiando o usuário,por_personagem/loira/31_elogiando_usuario.png,Elogiando o usuário,Correspondência direta
loira,39,Motivando / incentivando,por_personagem/loira/32_motivando_incentivando.png,Motivando / incentivando,Correspondência direta
loira,40,Confortando,por_personagem/loira/33_confortando.png,Confortando,Correspondência direta
loira,41,Modo “vamos resolver isso”,por_personagem/loira/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,Correspondência direta
loira,42,Modo “isso ficou incrível”,por_personagem/loira/31_elogiando_usuario.png,Elogiando o usuário,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
loira,43,Modo “ops” / erro leve,por_personagem/loira/24_ops_erro_leve.png,Modo “ops” / erro leve,Correspondência direta
loira,44,Modo “analisando”,por_personagem/loira/35_analisando.png,Modo “analisando”,Correspondência direta
loira,45,Modo “aguardando”,por_personagem/loira/28_escutando_atenta.png,Escutando / atenta,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
loira,46,Modo “sugestão”,por_personagem/loira/27_explicando_algo.png,Explicando algo,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
loira,47,Modo “alerta”,por_personagem/loira/08_surpresa.png,Surpresa,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
loira,48,Modo “segredo / sussurro”,por_personagem/loira/36_segredo_sussurro.png,Modo “segredo / sussurro”,Correspondência direta
loira,49,Modo “zoeira leve”,por_personagem/loira/04_piscando_brincando.png,Piscando / brincando,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
ruiva,1,Feliz / sorrindo,por_personagem/ruiva/01_feliz_sorrindo.png,Feliz / sorrindo,Correspondência direta
ruiva,2,Rindo,por_personagem/ruiva/02_rindo.png,Rindo,Correspondência direta
ruiva,3,Empolgada / animada,por_personagem/ruiva/03_muito_empolgada.png,MUITO empolgada / MUITO animada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
ruiva,4,MUITO empolgada / MUITO animada,por_personagem/ruiva/03_muito_empolgada.png,MUITO empolgada / MUITO animada,Correspondência direta
ruiva,5,Orgulhosa / confiante,por_personagem/ruiva/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
ruiva,6,Carinhosa / fofa,por_personagem/ruiva/05_carinhosa_fofa.png,Carinhosa / fofa,Correspondência direta
ruiva,7,Apaixonada / encantada,por_personagem/ruiva/06_apaixonada_encantada.png,Apaixonada / encantada,Correspondência direta
ruiva,8,Piscando / brincando,por_personagem/ruiva/04_piscando_brincando.png,Piscando / brincando,Correspondência direta
ruiva,9,Travessa / provocando,por_personagem/ruiva/04_piscando_brincando.png,Piscando / brincando,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
ruiva,10,Surpresa,por_personagem/ruiva/08_surpresa.png,Surpresa,Correspondência direta
ruiva,11,Chocada,por_personagem/ruiva/09_chocada.png,Chocada,Correspondência direta
ruiva,12,Confusa,por_personagem/ruiva/10_confusa.png,Confusa,Correspondência direta
ruiva,13,Pensativa,por_personagem/ruiva/11_pensativa.png,Pensativa,Correspondência direta
ruiva,14,Curiosa,por_personagem/ruiva/12_curiosa.png,Curiosa,Correspondência direta
ruiva,15,Concentrada / séria,por_personagem/ruiva/13_concentrada_seria.png,Concentrada / séria,Correspondência direta
ruiva,16,Aprovando / concordando,por_personagem/ruiva/07_aprovando_concordando.png,Aprovando / concordando,Correspondência direta
ruiva,17,Negando / desaprovando,por_personagem/ruiva/14_negando_desaprovando.png,Negando / desaprovando,Correspondência direta
ruiva,18,Envergonhada,por_personagem/ruiva/15_envergonhada_timida.png,Envergonhada,Correspondência direta
ruiva,19,Tímida,por_personagem/ruiva/15_envergonhada_timida.png,Envergonhada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
ruiva,20,Triste,por_personagem/ruiva/16_triste_chateada.png,Triste,Correspondência direta
ruiva,21,Chateada,por_personagem/ruiva/16_triste_chateada.png,Triste,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
ruiva,22,Brava / irritada,por_personagem/ruiva/17_brava_irritada.png,Brava / irritada,Correspondência direta
ruiva,23,Frustrada,por_personagem/ruiva/18_frustrada.png,Frustrada,Correspondência direta
ruiva,24,Preocupada,por_personagem/ruiva/19_preocupada_ansiosa.png,Preocupada,Correspondência direta
ruiva,25,Com medo / assustada,por_personagem/ruiva/20_com_medo_assustada.png,Com medo / assustada,Correspondência direta
ruiva,26,Cansada / com sono,por_personagem/ruiva/21_cansada_com_sono.png,Cansada / com sono,Correspondência direta
ruiva,27,Entediada,por_personagem/ruiva/22_entediada.png,Entediada,Correspondência direta
ruiva,28,Nervosa / ansiosa,por_personagem/ruiva/19_preocupada_ansiosa.png,Preocupada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
ruiva,29,Com dúvida,por_personagem/ruiva/10_confusa.png,Confusa,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
ruiva,30,Pedindo desculpas,por_personagem/ruiva/23_pedindo_desculpas.png,Pedindo desculpas,Correspondência direta
ruiva,31,Comemorando,por_personagem/ruiva/25_comemorando.png,Comemorando,Correspondência direta
ruiva,32,Pensando / processando resposta,por_personagem/ruiva/35_analisando.png,Modo “analisando”,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
ruiva,33,Tive uma ideia,por_personagem/ruiva/26_tive_uma_ideia.png,Tive uma ideia,Correspondência direta
ruiva,34,Explicando algo,por_personagem/ruiva/27_explicando_algo.png,Explicando algo,Correspondência direta
ruiva,35,Escutando / atenta,por_personagem/ruiva/28_escutando_atenta.png,Escutando / atenta,Correspondência direta
ruiva,36,Não entendi,por_personagem/ruiva/30_nao_entendi.png,Não entendi,Correspondência direta
ruiva,37,Entendi,por_personagem/ruiva/29_entendi.png,Entendi,Correspondência direta
ruiva,38,Elogiando o usuário,por_personagem/ruiva/31_elogiando_usuario.png,Elogiando o usuário,Correspondência direta
ruiva,39,Motivando / incentivando,por_personagem/ruiva/32_motivando_incentivando.png,Motivando / incentivando,Correspondência direta
ruiva,40,Confortando,por_personagem/ruiva/33_confortando.png,Confortando,Correspondência direta
ruiva,41,Modo “vamos resolver isso”,por_personagem/ruiva/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,Correspondência direta
ruiva,42,Modo “isso ficou incrível”,por_personagem/ruiva/31_elogiando_usuario.png,Elogiando o usuário,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
ruiva,43,Modo “ops” / erro leve,por_personagem/ruiva/24_ops_erro_leve.png,Modo “ops” / erro leve,Correspondência direta
ruiva,44,Modo “analisando”,por_personagem/ruiva/35_analisando.png,Modo “analisando”,Correspondência direta
ruiva,45,Modo “aguardando”,por_personagem/ruiva/28_escutando_atenta.png,Escutando / atenta,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
ruiva,46,Modo “sugestão”,por_personagem/ruiva/27_explicando_algo.png,Explicando algo,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
ruiva,47,Modo “alerta”,por_personagem/ruiva/08_surpresa.png,Surpresa,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
ruiva,48,Modo “segredo / sussurro”,por_personagem/ruiva/36_segredo_sussurro.png,Modo “segredo / sussurro”,Correspondência direta
ruiva,49,Modo “zoeira leve”,por_personagem/ruiva/04_piscando_brincando.png,Piscando / brincando,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
japonesa_oriental,1,Feliz / sorrindo,por_personagem/japonesa_oriental/01_feliz_sorrindo.png,Feliz / sorrindo,Correspondência direta
japonesa_oriental,2,Rindo,por_personagem/japonesa_oriental/02_rindo.png,Rindo,Correspondência direta
japonesa_oriental,3,Empolgada / animada,por_personagem/japonesa_oriental/03_muito_empolgada.png,MUITO empolgada / MUITO animada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
japonesa_oriental,4,MUITO empolgada / MUITO animada,por_personagem/japonesa_oriental/03_muito_empolgada.png,MUITO empolgada / MUITO animada,Correspondência direta
japonesa_oriental,5,Orgulhosa / confiante,por_personagem/japonesa_oriental/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
japonesa_oriental,6,Carinhosa / fofa,por_personagem/japonesa_oriental/05_carinhosa_fofa.png,Carinhosa / fofa,Correspondência direta
japonesa_oriental,7,Apaixonada / encantada,por_personagem/japonesa_oriental/06_apaixonada_encantada.png,Apaixonada / encantada,Correspondência direta
japonesa_oriental,8,Piscando / brincando,por_personagem/japonesa_oriental/04_piscando_brincando.png,Piscando / brincando,Correspondência direta
japonesa_oriental,9,Travessa / provocando,por_personagem/japonesa_oriental/04_piscando_brincando.png,Piscando / brincando,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
japonesa_oriental,10,Surpresa,por_personagem/japonesa_oriental/08_surpresa.png,Surpresa,Correspondência direta
japonesa_oriental,11,Chocada,por_personagem/japonesa_oriental/09_chocada.png,Chocada,Correspondência direta
japonesa_oriental,12,Confusa,por_personagem/japonesa_oriental/10_confusa.png,Confusa,Correspondência direta
japonesa_oriental,13,Pensativa,por_personagem/japonesa_oriental/11_pensativa.png,Pensativa,Correspondência direta
japonesa_oriental,14,Curiosa,por_personagem/japonesa_oriental/12_curiosa.png,Curiosa,Correspondência direta
japonesa_oriental,15,Concentrada / séria,por_personagem/japonesa_oriental/13_concentrada_seria.png,Concentrada / séria,Correspondência direta
japonesa_oriental,16,Aprovando / concordando,por_personagem/japonesa_oriental/07_aprovando_concordando.png,Aprovando / concordando,Correspondência direta
japonesa_oriental,17,Negando / desaprovando,por_personagem/japonesa_oriental/14_negando_desaprovando.png,Negando / desaprovando,Correspondência direta
japonesa_oriental,18,Envergonhada,por_personagem/japonesa_oriental/15_envergonhada_timida.png,Envergonhada,Correspondência direta
japonesa_oriental,19,Tímida,por_personagem/japonesa_oriental/15_envergonhada_timida.png,Envergonhada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
japonesa_oriental,20,Triste,por_personagem/japonesa_oriental/16_triste_chateada.png,Triste,Correspondência direta
japonesa_oriental,21,Chateada,por_personagem/japonesa_oriental/16_triste_chateada.png,Triste,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
japonesa_oriental,22,Brava / irritada,por_personagem/japonesa_oriental/17_brava_irritada.png,Brava / irritada,Correspondência direta
japonesa_oriental,23,Frustrada,por_personagem/japonesa_oriental/18_frustrada.png,Frustrada,Correspondência direta
japonesa_oriental,24,Preocupada,por_personagem/japonesa_oriental/19_preocupada_ansiosa.png,Preocupada,Correspondência direta
japonesa_oriental,25,Com medo / assustada,por_personagem/japonesa_oriental/20_com_medo_assustada.png,Com medo / assustada,Correspondência direta
japonesa_oriental,26,Cansada / com sono,por_personagem/japonesa_oriental/21_cansada_com_sono.png,Cansada / com sono,Correspondência direta
japonesa_oriental,27,Entediada,por_personagem/japonesa_oriental/22_entediada.png,Entediada,Correspondência direta
japonesa_oriental,28,Nervosa / ansiosa,por_personagem/japonesa_oriental/19_preocupada_ansiosa.png,Preocupada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
japonesa_oriental,29,Com dúvida,por_personagem/japonesa_oriental/10_confusa.png,Confusa,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
japonesa_oriental,30,Pedindo desculpas,por_personagem/japonesa_oriental/23_pedindo_desculpas.png,Pedindo desculpas,Correspondência direta
japonesa_oriental,31,Comemorando,por_personagem/japonesa_oriental/25_comemorando.png,Comemorando,Correspondência direta
japonesa_oriental,32,Pensando / processando resposta,por_personagem/japonesa_oriental/35_analisando.png,Modo “analisando”,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
japonesa_oriental,33,Tive uma ideia,por_personagem/japonesa_oriental/26_tive_uma_ideia.png,Tive uma ideia,Correspondência direta
japonesa_oriental,34,Explicando algo,por_personagem/japonesa_oriental/27_explicando_algo.png,Explicando algo,Correspondência direta
japonesa_oriental,35,Escutando / atenta,por_personagem/japonesa_oriental/28_escutando_atenta.png,Escutando / atenta,Correspondência direta
japonesa_oriental,36,Não entendi,por_personagem/japonesa_oriental/30_nao_entendi.png,Não entendi,Correspondência direta
japonesa_oriental,37,Entendi,por_personagem/japonesa_oriental/29_entendi.png,Entendi,Correspondência direta
japonesa_oriental,38,Elogiando o usuário,por_personagem/japonesa_oriental/31_elogiando_usuario.png,Elogiando o usuário,Correspondência direta
japonesa_oriental,39,Motivando / incentivando,por_personagem/japonesa_oriental/32_motivando_incentivando.png,Motivando / incentivando,Correspondência direta
japonesa_oriental,40,Confortando,por_personagem/japonesa_oriental/33_confortando.png,Confortando,Correspondência direta
japonesa_oriental,41,Modo “vamos resolver isso”,por_personagem/japonesa_oriental/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,Correspondência direta
japonesa_oriental,42,Modo “isso ficou incrível”,por_personagem/japonesa_oriental/31_elogiando_usuario.png,Elogiando o usuário,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
japonesa_oriental,43,Modo “ops” / erro leve,por_personagem/japonesa_oriental/24_ops_erro_leve.png,Modo “ops” / erro leve,Correspondência direta
japonesa_oriental,44,Modo “analisando”,por_personagem/japonesa_oriental/35_analisando.png,Modo “analisando”,Correspondência direta
japonesa_oriental,45,Modo “aguardando”,por_personagem/japonesa_oriental/28_escutando_atenta.png,Escutando / atenta,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
japonesa_oriental,46,Modo “sugestão”,por_personagem/japonesa_oriental/27_explicando_algo.png,Explicando algo,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
japonesa_oriental,47,Modo “alerta”,por_personagem/japonesa_oriental/08_surpresa.png,Surpresa,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
japonesa_oriental,48,Modo “segredo / sussurro”,por_personagem/japonesa_oriental/36_segredo_sussurro.png,Modo “segredo / sussurro”,Correspondência direta
japonesa_oriental,49,Modo “zoeira leve”,por_personagem/japonesa_oriental/04_piscando_brincando.png,Piscando / brincando,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
cabelos_brancos,1,Feliz / sorrindo,por_personagem/cabelos_brancos/01_feliz_sorrindo.png,Feliz / sorrindo,Correspondência direta
cabelos_brancos,2,Rindo,por_personagem/cabelos_brancos/02_rindo.png,Rindo,Correspondência direta
cabelos_brancos,3,Empolgada / animada,por_personagem/cabelos_brancos/03_muito_empolgada.png,MUITO empolgada / MUITO animada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
cabelos_brancos,4,MUITO empolgada / MUITO animada,por_personagem/cabelos_brancos/03_muito_empolgada.png,MUITO empolgada / MUITO animada,Correspondência direta
cabelos_brancos,5,Orgulhosa / confiante,por_personagem/cabelos_brancos/34_vamos_resolver_isso.png,Modo “vamos resolver isso”,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
cabelos_brancos,6,Carinhosa / fofa,por_personagem/cabelos_brancos/05_carinhosa_fofa.png,Carinhosa / fofa,Correspondência direta
cabelos_brancos,7,Apaixonada / encantada,por_personagem/cabelos_brancos/06_apaixonada_encantada.png,Apaixonada / encantada,Correspondência direta
cabelos_brancos,8,Piscando / brincando,por_personagem/cabelos_brancos/04_piscando_brincando.png,Piscando / brincando,Correspondência direta
cabelos_brancos,9,Travessa / provocando,por_personagem/cabelos_brancos/04_piscando_brincando.png,Piscando / brincando,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
cabelos_brancos,10,Surpresa,por_personagem/cabelos_brancos/08_surpresa.png,Surpresa,Correspondência direta
cabelos_brancos,11,Chocada,por_personagem/cabelos_brancos/09_chocada.png,Chocada,Correspondência direta
cabelos_brancos,12,Confusa,por_personagem/cabelos_brancos/10_confusa.png,Confusa,Correspondência direta
cabelos_brancos,13,Pensativa,por_personagem/cabelos_brancos/11_pensativa.png,Pensativa,Correspondência direta
cabelos_brancos,14,Curiosa,por_personagem/cabelos_brancos/12_curiosa.png,Curiosa,Correspondência direta
cabelos_brancos,15,Concentrada / séria,por_personagem/cabelos_brancos/13_concentrada_seria.png,Concentrada / séria,Correspondência direta
cabelos_brancos,16,Aprovando / concordando,por_personagem/cabelos_brancos/07_aprovando_concordando.png,Aprovando / concordando,Correspondência direta
cabelos_brancos,17,Negando / desaprovando,por_personagem/cabelos_brancos/14_negando_desaprovando.png,Negando / desaprovando,Correspondência direta
cabelos_brancos,18,Envergonhada,por_personagem/cabelos_brancos/15_envergonhada_timida.png,Envergonhada,Correspondência direta
cabelos_brancos,19,Tímida,por_personagem/cabelos_brancos/15_envergonhada_timida.png,Envergonhada,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
cabelos_brancos,20,Triste,por_personagem/cabelos_brancos/16_triste_chateada.png,Triste,Correspondência direta
cabelos_brancos,21,Chateada,por_personagem/cabelos_brancos/16_triste_chateada.png,Triste,Correspondência semântica aproximada; a cartela não gerou esta reação como pose exclusiva
cabelos_brancos,22,Brava / irritada,por_personagem/cabelos_brancos/17_brava_irritada.png,Brava / irritada,Correspondência direta
cabelos_brancos,23,Frustrada,por_personagem/cabelos_brancos/18_frustrada.png,Frustrada,Correspondência direta
cabelos_brancos,24,Preocupada,por_personagem/cabelos_brancos/19_preocupada_ansiosa.png,Preocupada,Correspondência direta
cabelos_brancos,25,Com medo / assustada,por_personagem/cabelos_brancos/20_com_medo_assustada.png,Com medo / assustada,Correspondência direta
cabelos_brancos,26,Cansada / com sono,por_personagem/cabelos_brancos/21_cansada_com_sono.png,Cansada / com sono,Correspondência direta
cabelos_brancos,27,Entediada,por_personagem/cabelos_brancos/22_entediada.png,Entediada,Correspondência direta
